date,sum,in,out
20150101,118288,46497,71791
20150102,116737,49780,66957
20150103,120434,59131,61303
20150104,137502,71644,65858
20150105,122653,61634,61019
20150106,95966,42617,53349
20150107,89553,41022,48531
20150108,85423,40159,45264
20150109,89836,45678,44158
20150110,94472,49314,45158
20150111,103933,51402,52531
20150112,98444,43582,54862
20150113,89523,41905,47618
20150114,93426,45185,48241
20150115,96035,46929,49106
20150116,106168,51965,54203
20150117,105089,50337,54752
20150118,114642,51900,62742
20150119,107308,47573,59735
20150120,102464,47068,55396
20150121,105417,51125,54292
20150122,104359,50124,54235
20150123,117265,58561,58704
20150124,111781,53967,57814
20150125,121659,59456,62203
20150126,113135,54147,58988
20150127,109804,50980,58824
20150128,121279,57040,64239
20150129,116728,55333,61395
20150130,124930,63007,61923
20150131,123550,65893,57657
20150201,129115,68317,60798
20150202,118241,62410,55831
20150203,113793,60318,53475
20150204,117184,61131,56053
20150205,117660,60798,56862
20150206,124601,64743,59858
20150207,130221,68159,62062
20150208,133896,70181,63715
20150209,124266,65544,58722
20150210,120612,65639,54973
20150211,129249,69546,59703
20150212,126603,67709,58894
20150213,140830,75982,64848
20150214,148489,78709,69780
20150215,144745,78889,65856
20150216,130806,74204,56602
20150217,137316,74603,62713
20150218,121558,60442,61116
20150219,128195,65350,62845
20150220,127516,69139,58377
20150221,134304,70448,63856
20150222,157252,82182,75070
20150223,166864,85693,81171
20150224,157809,76166,81643
20150225,147903,68319,79584
20150226,139121,58842,80279
20150227,138535,58811,79724
20150228,137821,64557,73264
20150301,145322,70347,74975
20150302,124535,58484,66051
20150303,116469,55869,60600
20150304,109659,53406,56253
20150305,108694,49680,59014
20150306,125254,59016,66238
20150307,116721,55931,60790
20150308,123558,59125,64433
20150309,118074,55734,62340
20150310,113439,54114,59325
20150311,111402,55828,55574
20150312,112942,57322,55620
20150313,124772,64227,60545
20150314,120573,62251,58322
20150315,130134,65259,64875
20150316,120641,58248,62393
20150317,114959,56819,58140
20150318,117309,59384,57925
20150319,113676,58080,55596
20150320,127088,64670,62418
20150321,124002,63451,60551
20150322,130682,63565,67117
20150323,119994,57482,62512
20150324,119374,58937,60437
20150325,126994,61334,65660
20150326,122604,61907,60697
20150327,134462,69531,64931
20150328,127324,63844,63480
20150329,136761,68664,68097
20150330,119665,58431,61234
20150331,120755,59470,61285
20150401,126810,63223,63587
20150402,139536,66728,72808
20150403,146992,71230,75762
20150404,127443,70606,56837
20150405,129178,69121,60057
20150406,148633,73851,74782
20150407,139907,70159,69748
20150408,132888,66599,66289
20150409,121181,58234,62947
20150410,130768,63506,67262
20150411,131179,65159,66020
20150412,138577,67813,70764
20150413,129410,61578,67832
20150414,119722,57946,61776
20150415,130377,64349,66028
20150416,125141,61838,63303
20150417,131767,66880,64887
20150418,133793,70235,63558
20150419,140786,68481,72305
20150420,128958,63812,65146
20150421,132396,67158,65238
20150422,137620,67272,70348
20150423,128658,63833,64825
20150424,145508,73408,72100
20150425,139754,73899,65855
20150426,145504,75343,70161
20150427,127356,66765,60591
20150428,127357,67152,60205
20150429,135105,76314,58791
20150430,140023,76397,63626
20150501,136010,75235,60775
20150502,115514,62475,53039
20150503,137007,67455,69552
20150504,120800,54352,66448
20150505,129698,56976,72722
20150506,114414,51162,63252
20150507,107685,49781,57904
20150508,121803,60194,61609
20150509,114652,58969,55683
20150510,135076,67160,67916
20150511,121504,54912,66592
20150512,118255,52764,65491
20150513,126117,59870,66247
20150514,129762,61228,68534
20150515,138830,68520,70310
20150516,135764,68629,67135
20150517,149894,73343,76551
20150518,133887,66643,67244
20150519,131145,62971,68174
20150520,137304,67310,69994
20150521,130468,67585,62883
20150522,145652,75684,69968
20150523,140191,74370,65821
20150524,145564,72618,72946
20150525,141850,72454,69396
20150526,125199,60280,64919
20150527,130685,66270,64415
20150528,127538,65666,61872
20150529,131031,67408,63623
20150530,127202,65127,62075
20150531,139506,73022,66484
20150601,123140,63471,59669
20150602,114728,55421,59307
20150603,122726,59605,63121
20150604,115364,56117,59247
20150605,128112,63310,64802
20150606,127257,63851,63406
20150607,134828,65253,69575
20150608,123224,60648,62576
20150609,118519,58855,59664
20150610,123561,60482,63079
20150611,127374,64268,63106
20150612,137577,71272,66305
20150613,131638,66263,65375
20150614,141433,70580,70853
20150615,129294,63975,65319
20150616,120126,58589,61537
20150617,131909,65578,66331
