日期,入出境總人數_小計
20150101,118288
20150102,116737
20150103,120434
20150104,137502
20150105,122653
20150106,95966
20150107,89553
20150108,85423
20150109,89836
20150110,94472
20150111,103933
20150112,98444
20150113,89523
20150114,93426
20150115,96035
20150116,106168
20150117,105089
20150118,114642
20150119,107308
20150120,102464
20150121,105417
20150122,104359
20150123,117265
20150124,111781
20150125,121659
20150126,113135
20150127,109804
20150128,121279
20150129,116728
20150130,124930
20150131,123550
20150201,129115
20150202,118241
20150203,113793
20150204,117184
20150205,117660
20150206,124601
20150207,130221
20150208,133896
20150209,124266
20150210,120612
20150211,129249
20150212,126603
20150213,140830
20150214,148489
20150215,144745
20150216,130806
20150217,137316
20150218,121558
20150219,128195
20150220,127516
20150221,134304
20150222,157252
20150223,166864
20150224,157809
20150225,147903
20150226,139121
20150227,138535
20150228,137821
20150301,145322
20150302,124535
20150303,116469
20150304,109659
20150305,108694
20150306,125254
20150307,116721
20150308,123558
20150309,118074
20150310,113439
20150311,111402
20150312,112942
20150313,124772
20150314,120573
20150315,130134
20150316,120641
20150317,114959
20150318,117309
20150319,113676
20150320,127088
20150321,124002
20150322,130682
20150323,119994
20150324,119374
20150325,126994
20150326,122604
20150327,134462
20150328,127324
20150329,136761
20150330,119665
20150331,120755
20150401,126810
20150402,139536
20150403,146992
20150404,127443
20150405,129178
20150406,148633
20150407,139907
20150408,132888
20150409,121181
20150410,130768
20150411,131179
20150412,138577
20150413,129410
20150414,119722
20150415,130377
20150416,125141
20150417,131767
20150418,133793
20150419,140786
20150420,128958
20150421,132396
20150422,137620
20150423,128658
20150424,145508
20150425,139754
20150426,145504
20150427,127356
20150428,127357
20150429,135105
20150430,140023
20150501,136010
20150502,115514
20150503,137007
20150504,120800
20150505,129698
20150506,114414
20150507,107685
20150508,121803
20150509,114652
20150510,135076
20150511,121504
20150512,118255
20150513,126117
20150514,129762
20150515,138830
20150516,135764
20150517,149894
20150518,133887
20150519,131145
20150520,137304
20150521,130468
20150522,145652
20150523,140191
20150524,145564
20150525,141850
20150526,125199
20150527,130685
20150528,127538
20150529,131031
20150530,127202
20150531,139506
20150601,123140
20150602,114728
20150603,122726
20150604,115364
20150605,128112
20150606,127257
20150607,134828
20150608,123224
20150609,118519
20150610,123561
20150611,127374
20150612,137577
20150613,131638
20150614,141433
20150615,129294
20150616,120126
20150617,131909
20150618,136602
20150619,142385
20150620,128355
20150621,142774
20150622,136945
20150623,134696
20150624,132953
20150625,127584
20150626,145060
20150627,139897
20150628,144090
20150629,132700
20150630,133961
20150701,144306
20150702,130941
20150703,142681
20150704,138654
20150705,147859
20150706,133205
20150707,120379
20150708,123025
20150709,123904
20150710,103901
20150711,129920
20150712,155134
20150713,131357
20150714,123668
20150715,135789
20150716,131802
20150717,136752
20150718,144479
20150719,143642
20150720,136685
20150721,126165
20150722,130212
20150723,125425
20150724,139299
20150725,140257
20150726,147229
20150727,134345
20150728,123497
20150729,129892
20150730,130577
20150731,145090
20150801,146862
20150802,151778
20150803,132118
20150804,125829
20150805,137116
20150806,139655
20150807,122592
20150808,60487
20150809,170480
20150810,152527
20150811,136825
20150812,136743
20150813,132748
20150814,141196
20150815,145352
20150816,153958
20150817,144845
20150818,135357
20150819,138047
20150820,134087
20150821,139856
20150822,137782
20150823,145552
20150824,131368
20150825,133196
20150826,135149
20150827,128367
20150828,128993
20150829,136313
20150830,133519
20150831,115709
20150901,110823
20150902,122487
20150903,119847
20150904,119534
20150905,124494
20150906,132130
20150907,123868
20150908,111745
20150909,116819
20150910,118710
20150911,125302
20150912,130402
20150913,137553
20150914,123489
20150915,118708
20150916,125639
20150917,124086
20150918,135255
20150919,137205
20150920,139898
20150921,126765
20150922,124096
20150923,130027
20150924,132568
20150925,141372
20150926,133326
20150927,119962
20150928,61536
20150929,144606
20150930,141722
20151001,136028
20151002,121999
20151003,125837
20151004,130148
20151005,118688
20151006,124972
20151007,129616
20151008,129854
20151009,136960
20151010,122855
20151011,149205
20151012,145107
20151013,131599
20151014,130120
20151015,130825
20151016,146285
20151017,139270
20151018,147331
20151019,137311
20151020,130814
20151021,136444
20151022,135158
20151023,138853
20151024,140509
20151025,148714
20151026,132400
20151027,125559
20151028,131193
20151029,126619
20151030,134660
20151031,134922
20151101,137798
20151102,122880
20151103,125837
20151104,123133
20151105,124971
20151106,135402
20151107,130889
20151108,140540
20151109,125878
20151110,124247
20151111,124780
20151112,130453
20151113,133599
20151114,136594
20151115,152585
20151116,130136
20151117,129030
20151118,132990
20151119,130677
20151120,142850
20151121,142343
20151122,146317
20151123,134499
20151124,129020
20151125,129717
20151126,127726
20151127,142645
20151128,137041
20151129,144958
20151130,128413
20151201,124932
20151202,118642
20151203,123415
20151204,128185
20151205,128489
20151206,138846
20151207,121938
20151208,120511
20151209,116253
20151210,125258
20151211,131150
20151212,134829
20151213,143794
20151214,127331
20151215,127454
20151216,122068
20151217,124726
20151218,140845
20151219,132535
20151220,143064
20151221,122201
20151222,119987
20151223,137099
20151224,128229
20151225,129918
20151226,132515
20151227,139309
20151228,122083
20151229,130540
20151230,136482
20151231,129827
20160101,122001
20160102,123103
20160103,142623
20160104,128328
20160105,108688
20160106,103315
20160107,97701
20160108,106992
20160109,105764
20160110,118965
20160111,110834
20160112,102606
20160113,104186
20160114,110897
20160115,127717
20160116,128214
20160117,137920
20160118,129299
20160119,127003
20160120,138979
20160121,137222
20160122,143096
20160123,141725
20160124,153681
20160125,148898
20160126,143817
20160127,137752
20160128,123220
20160129,146657
20160130,152403
20160131,155392
20160201,138443
20160202,130363
20160203,147596
20160204,162148
20160205,161584
20160206,168940
20160207,136555
20160208,135344
20160209,152319
20160210,164536
20160211,165453
20160212,170821
20160213,177424
20160214,181218
20160215,172024
20160216,154253
20160217,143315
20160218,136438
20160219,134225
20160220,134648
20160221,142693
20160222,125709
20160223,125455
20160224,124836
20160225,129615
20160226,140483
20160227,139765
20160228,138396
20160229,136345
20160301,133801
20160302,121100
20160303,117443
20160304,124022
20160305,124494
20160306,134114
20160307,124624
20160308,117827
20160309,115862
20160310,123783
20160311,141336
20160312,132096
20160313,142991
20160314,132586
20160315,127683
20160316,129318
20160317,135436
20160318,137398
20160319,146899
20160320,154597
20160321,136734
20160322,137174
20160323,139967
20160324,137793
20160325,155561
20160326,150911
20160327,155380
20160328,152263
20160329,138067
20160330,146094
20160331,150046
20160401,171441
20160402,152662
20160403,142592
20160404,129329
20160405,146038
20160406,143497
20160407,129256
20160408,132663
20160409,139066
20160410,154269
20160411,136182
20160412,128656
20160413,135227
20160414,130572
20160415,147182
20160416,145129
20160417,149802
20160418,139866
20160419,130749
